t,q_1,q_2,q_3,q_4,q_5,q_6,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6
1.14,0,-0.067558016,0,-1.379883091,1.660630341,0,0,-1.659572307,0,1.804944012,-7.102835157,0,0,6.009488696,0,1.804944012,-7.102835157,0
1.15,0,-0.083907961,0,-1.361960393,1.658015817,0,0,-1.600556435,0,1.773839087,-6.71720757,0,0,6.065556072,0,1.773839087,-6.71720757,0
1.16,0,-0.099668894,0,-1.344362974,1.654725426,0,0,-1.541543837,0,1.739128272,-6.340954623,0,0,6.130892503,0,1.739128272,-6.340954623,0
1.17,0,-0.114839821,0,-1.327127407,1.650794751,0,0,-1.482372795,0,1.700757763,-5.974118055,0,0,6.204270632,0,1.700757763,-5.974118055,0
1.18,0,-0.129415834,0,-1.310293566,1.646258804,0,0,-1.420738585,0,1.656154235,-5.632834053,0,0,6.211539522,0,1.656154235,-5.632834053,0
1.19,0,-0.143355155,0,-1.293943538,1.641157888,0,0,-1.355681474,0,1.604114199,-5.311655475,0,0,6.198817639,0,1.604114199,-5.311655475,0
1.2,0,-0.156639973,0,-1.278131933,1.635527735,0,0,-1.290183519,0,1.54816622,-5.003344814,0,0,6.194362202,0,1.54816622,-5.003344814,0
1.21,0,-0.169268566,0,-1.262895071,1.629404808,0,0,-1.224181408,0,1.488386177,-4.70777039,0,0,6.194999845,0,1.488386177,-4.70777039,0
1.22,0,-0.181239436,0,-1.248266266,1.622821,0,0,-1.160972376,0,1.428979956,-4.428001093,0,0,6.182533938,0,1.428979956,-4.428001093,0
1.23,0,-0.192610864,0,-1.234202896,1.61579325,0,0,-1.10306282,0,1.373436712,-4.200263325,0,0,6.021699665,0,1.373436712,-4.200263325,0
1.24,0,-0.203400685,0,-1.220708132,1.608342315,0,0,-1.04461893,0,1.314789726,-3.998265265,0,0,5.840263836,0,1.314789726,-3.998265265,0
1.25,0,-0.213601964,0,-1.207814344,1.600492637,0,0,-0.985603585,0,1.253090295,-3.815967423,0,0,5.659023469,0,1.253090295,-3.815967423,0
1.26,0,-0.223211348,0,-1.195549179,1.59227024,0,0,-0.92599061,0,1.188420287,-3.647547298,0,0,5.501856816,0,1.188420287,-3.647547298,0
1.27,0,-0.232233243,0,-1.183928409,1.583695611,0,0,-0.871384424,0,1.12816094,-3.476971749,0,0,5.428542701,0,1.12816094,-3.476971749,0
1.28,0,-0.240741671,0,-1.172875479,1.574768593,0,0,-0.821445286,0,1.072234545,-3.317356006,0,0,5.35401051,0,1.072234545,-3.317356006,0
1.29,0,-0.24874816,0,-1.162391551,1.565501546,0,0,-0.770995931,0,1.014083715,-2.653648391,0,0,5.07097624,0,1.014083715,-2.653648391,0
1.3,0,-0.256246651,0,-1.152499732,1.555910788,0,0,-0.720028966,0,0.95377364,-1.935909217,0,0,4.755326657,0,0.95377364,-1.935909217,0
1.31,0,-0.26323395,0,-1.143218938,1.546013628,0,0,-0.668545837,0,0.89139202,-1.223268836,0,0,4.484408582,0,0.89139202,-1.223268836,0
1.32,0,-0.269704925,0,-1.13456947,1.535825235,0,0,-0.61655202,0,0.827028969,-0.503706911,0,0,4.289706522,0,0.827028969,-0.503706911,0
1.33,0,-0.275677968,0,-1.126539074,1.525418658,0,0,-0.575490931,0,0.776229469,0.203620805,0,0,4.092206662,0,0.776229469,0.203620805,0
1.34,0,-0.281297705,0,-1.118942849,1.515181074,0,0,-0.54272877,0,0.735836751,0.899088832,0,0,3.89170362,0,0.735836751,0.899088832,0
1.35,0,-0.286587851,0,-1.111755951,1.505188831,0,0,-0.509680676,0,0.694383386,1.583118818,0,0,3.688037785,0,0.694383386,1.583118818,0
1.36,0,-0.29154675,0,-1.104987332,1.495448632,0,0,-0.476352127,0,0.65191323,2.326153533,0,0,3.414954337,0,0.65191323,2.326153533,0
1.37,0,-0.296171631,0,-1.098646955,1.485967669,0,0,-0.442749742,0,0.608470419,2.913339019,0,0,3.134177759,0,0.608470419,2.913339019,0
1.38,0,-0.300459796,0,-1.092744327,1.476752752,0,0,-0.408882322,0,0.564103367,3.1542338,0,0,2.985877625,0,0.564103367,3.1542338,0
1.39,0,-0.30440771,0,-1.087289701,1.467811047,0,0,-0.374760179,0,0.518862553,3.38911761,0,0,2.835581524,0,0.518862553,3.38911761,0
1.4,0,-0.308012682,0,-1.082291859,1.45914874,0,0,-0.341663755,0,0.474566102,3.618216943,0,0,2.683273956,0,0.474566102,3.618216943,0
1.41,0,-0.311344706,0,-1.077658009,1.45084555,0,0,-0.321427938,0,0.447789497,3.841796134,0,0,2.528966245,0,0.447789497,3.841796134,0
1.42,0,-0.314475824,0,-1.073290938,1.442982872,0,0,-0.301276939,0,0.420888192,4.060117682,0,0,2.372682441,0,0.420888192,4.060117682,0
1.43,0,-0.317405184,0,-1.069194191,1.435563919,0,0,-0.281007251,0,0.393593085,4.273462603,0,0,2.214466033,0,0.393593085,4.273462603,0
1.44,0,-0.320131,0,-1.06537246,1.428592742,0,0,-0.260623692,0,0.365924017,4.482117539,0,0,2.054374447,0,0.365924017,4.482117539,0
1.45,0,-0.32265217,0,-1.061829383,1.422071846,0,0,-0.24013206,0,0.337903333,4.51420927,0,0,2.045812414,0,0.337903333,4.51420927,0
1.46,0,-0.324968247,0,-1.058567549,1.416002257,0,0,-0.219538997,0,0.309555404,4.507190032,0,0,1.989536192,0,0.309555404,4.507190032,0
1.47,0,-0.327078246,0,-1.055590121,1.410386157,0,0,-0.198851342,0,0.280904599,4.497949592,0,0,1.932171559,0,0.280904599,4.497949592,0
1.48,0,-0.328981256,0,-1.052900016,1.405225549,0,0,-0.178076445,0,0.251976331,4.486641039,0,0,1.873938635,0,0.251976331,4.486641039,0
1.49,0,-0.330675734,0,-1.050500879,1.400523798,0,0,-0.157221891,0,0.222796249,4.473323428,0,0,1.814843678,0,0.222796249,4.473323428,0
1.5,0,-0.332175191,0,-1.048374872,1.396276155,0,0,-0.140747346,0,0.199711261,4.458069445,0,0,1.754901473,0,0.199711261,4.458069445,0
1.51,0,-0.333518938,0,-1.046467259,1.392465761,0,0,-0.125355574,0,0.178079425,4.440960137,0,0,1.694133266,0,0.178079425,4.440960137,0
1.52,0,-0.334708775,0,-1.044776262,1.389092614,0,0,-0.10992142,0,0.156315142,4.422076244,0,0,1.632562799,0,0.156315142,4.422076244,0
1.53,0,-0.3357443,0,-1.043303137,1.386157566,0,0,-0.094449715,0,0.134433934,4.401503432,0,0,1.570218471,0,0.134433934,4.401503432,0
1.54,0,-0.336624588,0,-1.042049795,1.383662982,0,0,-0.078945349,0,0.112451339,4.398025899,0,0,1.550579994,0,0.112451339,4.398025899,0
1.55,0,-0.337349539,0,-1.041016892,1.38160892,0,0,-0.063413536,0,0.090383766,4.277621413,0,0,1.508688279,0,0.090383766,4.277621413,0
1.56,0,-0.337919265,0,-1.040204693,1.379994877,0,0,-0.047859596,0,0.068247833,4.208906438,0,0,1.485078105,0,0.068247833,4.208906438,0
1.57,0,-0.338333567,0,-1.039613813,1.378821267,0,0,-0.032288868,0,0.046060117,4.125240763,0,0,1.456026914,0,0.046060117,4.125240763,0
1.58,0,-0.3385923,0,-1.039244697,1.378088395,0,0,-0.01670676,0,0.023837343,3.903643514,0,0,1.378093183,0,0.023837343,3.903643514,0
1.59,0,-0.338694751,0,-1.039098514,1.377798208,0,0,-0.001118729,0,0.001596335,2.022543867,0,0,0.714069929,0,0.001596335,2.022543867,0
